,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,35849.933494610996,307.5944647919645,11607.00181763126,55809.565020738104,1723.6867870046244
ptcorr_15to20_EB2,22874.277930990724,241.4300272977385,7184.85393081357,36485.444611487255,946.8595482818837
ptcorr_15to20_EE,19863.421635768835,234.91511029301452,6901.894125339111,30328.27947961916,906.1461947885738
ptcorr_20to25_EB1,37484.84984609508,301.7193967918068,11742.332183273853,59570.877214126696,1483.7659375599
ptcorr_20to25_EB2,22182.925976029874,237.46869945530082,7221.51073271851,37925.34871992411,964.8652811030385
ptcorr_20to25_EE,20979.027956078327,239.55665013833803,7627.276322420325,32429.458195797226,741.584453276529
ptcorr_25to35_EB1,98251.60314757252,460.2744584691903,27014.772717341883,140645.12891528028,3282.0497613095577
ptcorr_25to35_EB2,46509.446105029354,334.3834861461362,18007.624676488085,67719.21636158021,1795.9777623062937
ptcorr_25to35_EE,45789.90438719408,345.48896078911514,18689.20433418559,67323.73059912074,1487.7606569325596
ptcorr_35to50_EB1,134390.30300469554,521.2237734853952,34939.69773848864,159037.03655193766,3476.153837634231
ptcorr_35to50_EB2,106314.24236610375,464.06847678003504,37431.4798654946,120206.91698125977,2335.2876572760383
ptcorr_35to50_EE,108942.68274838396,474.902279491221,44191.47084960722,126315.38783508747,2054.2111435242246
ptcorr_50to100_EB1,46374.257085791265,360.75884983651696,25334.53673285217,53832.939424748,2586.1332062278807
ptcorr_50to100_EB2,41230.748384932944,339.4716397197376,21414.76042705101,47142.030983013305,1887.8253156164667
ptcorr_50to100_EE,50968.49397752115,379.8922194484557,26684.75722108938,59716.92795010126,1763.6573140533828
