,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,835.0,28.89636655359978,180.0,1578.0,126.0
ptcorr_15to20_EB2,597.0,24.43358344574123,123.0,1182.0,75.0
ptcorr_15to20_EE,1132.0,33.645207682521445,270.0,2168.0,106.0
ptcorr_20to25_EB1,346.0,18.601075237738275,103.0,634.0,32.0
ptcorr_20to25_EB2,372.0,19.28730152198591,91.0,644.0,49.0
ptcorr_20to25_EE,767.0,27.694764848252458,196.0,1363.0,62.0
ptcorr_25to35_EB1,809.0,28.442925306655784,236.0,1220.0,90.0
ptcorr_25to35_EB2,791.0,28.124722220850465,275.0,1175.0,85.0
ptcorr_25to35_EE,1741.0,41.72529209005013,508.0,2722.0,121.0
ptcorr_35to50_EB1,509.0,22.561028345356956,215.0,642.0,36.0
ptcorr_35to50_EB2,536.0,23.15167380558045,228.0,659.0,42.0
ptcorr_35to50_EE,1167.0,34.161381705077446,463.0,1465.0,62.0
ptcorr_50to100_EB1,401.0,20.024984394500787,268.0,441.0,42.0
ptcorr_50to100_EB2,375.0,19.364916731037084,261.0,404.0,40.0
ptcorr_50to100_EE,765.0,27.65863337187866,479.0,842.0,47.0
