,,,Scale
MeasFakeEl12,loose,Central,0.000623517492037056
MeasFakeEl12,loose,PromptNormUp,0.0007170451158426144
MeasFakeEl12,loose,PromptNormDown,0.0005299898682314976
MeasFakeEl12,loose,MotherJetPtUp,0.0006824636300597858
MeasFakeEl12,loose,MotherJetPtDown,0.0006181603579085092
MeasFakeEl12,loose,RequireHeavyTag,0.0006437309794296384
MeasFakeEl12,tight,Central,0.0006098810131511973
MeasFakeEl12,tight,PromptNormUp,0.0007013631651238768
MeasFakeEl12,tight,PromptNormDown,0.0005183988611785177
MeasFakeEl12,tight,MotherJetPtUp,0.000674492008940439
MeasFakeEl12,tight,MotherJetPtDown,0.0006043740061428022
MeasFakeEl12,tight,RequireHeavyTag,0.0006870488158672432
MeasFakeEl23,loose,Central,0.0028698989735270594
MeasFakeEl23,loose,PromptNormUp,0.003300383819556118
MeasFakeEl23,loose,PromptNormDown,0.0024394141274980004
MeasFakeEl23,loose,MotherJetPtUp,0.0030177536115130956
MeasFakeEl23,loose,MotherJetPtDown,0.002844989569036309
MeasFakeEl23,loose,RequireHeavyTag,0.002519347725237144
MeasFakeEl23,tight,Central,0.002835182763908178
MeasFakeEl23,tight,PromptNormUp,0.0032604601784944043
MeasFakeEl23,tight,PromptNormDown,0.002409905349321951
MeasFakeEl23,tight,MotherJetPtUp,0.0029791347993938276
MeasFakeEl23,tight,MotherJetPtDown,0.0028080395265117487
MeasFakeEl23,tight,RequireHeavyTag,0.002495713027892618
