,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_10to15_EB1,34220.29501504486,746.0148158730655,8787.127656387152,88976.7247269466,2128.71293478198
ptcorr_10to15_EB2,24037.910938663383,624.5597289384486,6203.053769443335,62007.22692840278,1275.945931273707
ptcorr_10to15_EE,20970.28056523653,585.6407546104685,5521.053517385943,55778.54547682067,1170.820278365032
ptcorr_15to20_EB1,34954.68897784035,750.4337567879124,8870.433136914857,95533.96812717804,2082.0847636620424
ptcorr_15to20_EB2,26402.70544371805,654.554190566352,6749.944684029151,69078.1337955369,1792.0668962553882
ptcorr_15to20_EE,22182.40841654347,596.9955736432139,5238.643513288524,59204.500064937616,1368.7996369931498
ptcorr_20to30_EB1,76873.11419124671,1115.5706674464222,17388.47768120795,186993.74767653158,3851.1642937143597
ptcorr_20to30_EB2,55258.51180695538,948.4538679433697,12463.463162790624,134096.54894805938,2739.620655335153
ptcorr_20to30_EE,49518.518508601526,891.541312410456,11846.621350290143,117632.98155999079,2697.728831670737
ptcorr_30to50_EB1,161331.91579834168,1625.3202813381902,41401.410158650884,292861.992249832,7528.603280848958
ptcorr_30to50_EB2,115635.29767178243,1379.1192271346913,30102.571043887256,209544.38220314716,5793.2227541136335
ptcorr_30to50_EE,103474.59254262998,1296.548314038391,28500.831960475873,186318.44120547554,5191.45246756461
ptcorr_50to100_EB1,171264.42808656662,1671.8681843074414,96872.15553539332,204028.00458963105,8089.8849421669765
ptcorr_50to100_EB2,122500.87679349375,1422.7018369614732,70102.13520079866,145620.63939832232,4989.39828193225
ptcorr_50to100_EE,98157.54936605359,1261.678674628913,55413.8390762617,117807.89552359578,4245.398520228091
