,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,602.3459569927332,5.545941344048854,407.16104459259816,654.8112638001323,395.5126271222198
ptcorr_15to20_EB2,378.44867148882963,4.335109212308611,254.2644391455061,410.94058428204767,248.81447846246857
ptcorr_15to20_EE,361.8751625915559,4.227308889928938,241.194613496339,392.5385026755256,235.21914008898338
ptcorr_20to25_EB1,566.0195383323342,5.23857972621058,382.07162483185004,619.6308570812602,382.0633657714587
ptcorr_20to25_EB2,370.17131550422135,4.219815220068657,251.2247456936881,401.29768513547486,250.30151052251685
ptcorr_20to25_EE,363.4087817539196,4.151184567106448,237.7388139703743,395.8483436008966,250.58946688940907
ptcorr_25to35_EB1,1100.9466352272807,7.272410562146607,727.777748263705,1193.6867001179896,804.9349334672495
ptcorr_25to35_EB2,704.9005508127165,5.818067289227307,462.3391803072603,768.2975750406351,513.333659641705
ptcorr_25to35_EE,624.2390754960384,5.4024989285882,402.39294133158774,683.9642971612634,445.3761757081301
ptcorr_35to50_EB1,1389.2491846921127,8.231337652959079,915.6849611954356,1494.377112840671,1046.4631443730125
ptcorr_35to50_EB2,871.4228567457728,6.524121711416815,571.9755062926829,939.6039745533429,642.723046925248
ptcorr_35to50_EE,697.3465712324498,5.71597945664701,449.1553089354578,760.9077961217796,494.4622344913084
ptcorr_50to100_EB1,1697.4985346992655,9.149938999932884,1160.4957568007435,1810.7193535566155,1251.8695256028354
ptcorr_50to100_EB2,1076.7517386916447,7.26932773035824,725.2289971698439,1151.5930653186974,776.4594757802314
ptcorr_50to100_EE,759.0741228832994,5.97053153887261,502.04226861765903,824.5642313308629,515.6645002526436
