,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,3267.3062849482635,10.950998293230622,2662.2673907777744,3378.8576609356974,2623.994787600627
ptcorr_15to20_EB2,1962.2911299395687,8.37171608504109,1596.6450933649664,2029.283437884077,1576.3777598172358
ptcorr_15to20_EE,1650.4775497150986,7.6414373164922775,1340.240006990014,1706.347684580899,1321.9378475407536
ptcorr_20to25_EB1,3259.4487961526174,10.63111033477156,2659.5290374143906,3361.9085877181174,2623.502518326609
ptcorr_20to25_EB2,1968.8320972416413,8.243003022450653,1607.6033292193604,2034.6026034397537,1575.6915474391337
ptcorr_20to25_EE,1619.785123333142,7.438271502346752,1306.912732948124,1675.649180778253,1285.1453693593712
ptcorr_25to35_EB1,6179.1313356645105,14.895611112383529,5093.316727404574,6352.925759570367,5003.016536861027
ptcorr_25to35_EB2,3729.218352055791,11.54436472354494,3073.4015209980175,3839.379162083161,2990.8421665388455
ptcorr_25to35_EE,2699.070704510026,9.753866909652148,2194.5429253229645,2787.728389112119,2130.700961428996
ptcorr_35to50_EB1,7451.102696055675,16.330390815404556,6254.080577215721,7627.142863888658,6040.69666964345
ptcorr_35to50_EB2,4414.460022656472,12.55116271629352,3692.5906751787697,4527.038007981038,3531.8295461169196
ptcorr_35to50_EE,2964.791381788821,10.11717403824175,2430.1777545309033,3056.092929481863,2295.7670305008664
ptcorr_50to100_EB1,9675.587069396155,18.49299847484888,8570.055901680598,9824.703594636187,7755.552150670486
ptcorr_50to100_EB2,5676.915002506906,14.165319176676634,4991.888561185033,5775.124896673388,4484.946943446002
ptcorr_50to100_EE,3475.9763401355735,10.937319262464216,3004.7729717168954,3553.9116638563096,2642.268321141807
