,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,47008.12075419806,1260.783920791439,12193.16570235335,81517.19156365692,2388.1179881711073
ptcorr_15to20_EB2,31669.813715072276,1022.3283631261205,8005.844796326333,54905.03419716551,1862.4129016096385
ptcorr_15to20_EE,31461.772541337697,1015.4572650545729,8668.116565853341,53874.2886665617,1479.9032426180358
ptcorr_20to25_EB1,48111.830317565276,1238.7784730078374,11787.041479132324,81839.79647018145,2390.1735366019398
ptcorr_20to25_EB2,34506.26446602295,1050.044257091965,8177.3540975672295,57821.31150295642,1973.966829772446
ptcorr_20to25_EE,39338.79630103244,1115.8557259754398,10765.701034698679,64187.1007600069,1911.8341682658292
ptcorr_25to35_EB1,110643.47920703594,1883.1718093290096,26814.3566030666,175504.57980968792,5771.837594229936
ptcorr_25to35_EB2,80094.86994424705,1596.5157658873322,21942.33264951557,124158.43805428925,3561.1143607955937
ptcorr_25to35_EE,81364.544518403,1591.1243988506233,22667.21228444458,125426.20840081012,4307.946087125605
ptcorr_35to50_EB1,171535.19135879213,2361.4580548034337,51105.01136845172,236018.54385627672,8290.971351869213
ptcorr_35to50_EB2,114445.97144887723,1924.599971656973,34142.72824598653,156740.32346417065,5234.047447566747
ptcorr_35to50_EE,115671.54471368238,1884.5096333819993,37556.91951587285,154354.79807134758,5068.512634010104
ptcorr_50to100_EB1,270230.63348663226,2961.684511526045,158262.75840952317,303422.31924459996,10822.443947060634
ptcorr_50to100_EB2,188655.82673414997,2469.3972389102437,112062.69330689573,210474.62579695883,7505.855691992921
ptcorr_50to100_EE,173516.02478913582,2318.7297025118714,102179.84840286072,194084.5302073168,6684.697946026916
