,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_10to15_EB1,38071.60661213044,369.79802650947664,9758.735050993135,80802.98172607683,3529.2957157449946
ptcorr_10to15_EB2,21530.16544714865,277.23235576311623,5508.238895091092,47212.038849018274,1906.9251263607748
ptcorr_10to15_EE,15644.764821495126,239.91405952987378,3932.0874036889304,34445.173582932744,1270.2878462099566
ptcorr_15to20_EB1,43584.37928895668,383.4408278646085,10124.37818813507,93077.26033728958,3976.5884307370143
ptcorr_15to20_EB2,23259.748505205,283.5251301235077,5656.449304224717,50712.68803687548,1963.5191397698195
ptcorr_15to20_EE,17597.614881564783,247.1201828326072,4182.178545552097,39101.881804496945,1414.8686956903293
ptcorr_20to30_EB1,93643.91874606235,547.5880124028915,20382.921198260297,184582.55057669646,8314.783599444261
ptcorr_20to30_EB2,51135.02872075721,412.190394955253,12349.892240249454,101914.86387630981,3493.1698688400757
ptcorr_20to30_EE,38884.396838143235,362.92428196975106,9446.850214698385,79863.65905123093,2786.6199051689805
ptcorr_30to50_EB1,175763.88830701602,724.4200480350413,35702.03229907934,241144.88266655937,10178.425667101537
ptcorr_30to50_EB2,125705.73700957923,615.7362355989967,32671.115762911948,167940.21983856455,6372.734970865388
ptcorr_30to50_EE,111270.87975768703,585.9758240793179,35992.28874716237,152827.40875335273,5839.764163329065
ptcorr_50to100_EB1,56812.09252003724,476.63821077390287,31325.729133259276,66285.89994747819,3390.8293619451447
ptcorr_50to100_EB2,50570.53366549128,451.25225836252116,27739.066245344264,58899.373554849844,3193.3287212876658
ptcorr_50to100_EE,51498.23242580469,458.51747508495436,26557.009679619798,60609.128321097414,3348.5302209577017
