,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,3526.0,59.38013135721409,755.0,5720.0,513.0
ptcorr_15to20_EB2,2430.0,49.29503017546495,518.0,3889.0,392.0
ptcorr_15to20_EE,4244.0,65.14598989960932,925.0,6967.0,472.0
ptcorr_20to25_EB1,1788.0,42.28474902373195,419.0,2740.0,292.0
ptcorr_20to25_EB2,1581.0,39.761790704142086,341.0,2438.0,248.0
ptcorr_20to25_EE,3454.0,58.770741019660456,780.0,5239.0,439.0
ptcorr_25to35_EB1,1678.0,40.963398296528084,423.0,2346.0,316.0
ptcorr_25to35_EB2,1588.0,39.84971769034255,412.0,2212.0,317.0
ptcorr_25to35_EE,3963.0,62.95236294214857,1014.0,5409.0,598.0
ptcorr_35to50_EB1,1039.0,32.2335229225724,309.0,1240.0,145.0
ptcorr_35to50_EB2,1069.0,32.69556544854363,345.0,1234.0,129.0
ptcorr_35to50_EE,2411.0,49.10193478876367,864.0,2861.0,231.0
ptcorr_50to100_EB1,724.0,26.90724809414742,473.0,786.0,78.0
ptcorr_50to100_EB2,622.0,24.939927826679853,385.0,672.0,66.0
ptcorr_50to100_EE,1490.0,38.600518131237564,918.0,1619.0,110.0
