,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,1106.9634983991932,11.694939047103418,882.7038356572255,1145.7588859661296,689.386258208834
ptcorr_15to20_EB2,692.4379684070432,9.070900074503145,550.6601185107513,715.3369519686702,432.65025642370983
ptcorr_15to20_EE,587.2326760025968,8.076324335062672,464.59963302272905,608.1964123425635,372.2093094117536
ptcorr_20to25_EB1,1056.732866535733,10.885983773872043,853.9412579748767,1089.954692174555,675.6397382185779
ptcorr_20to25_EB2,663.7559635747172,8.690623102600858,535.7591418796093,683.9790228846581,426.07458628521505
ptcorr_20to25_EE,605.0447572121302,8.294086053489046,481.6363638141706,622.4133703387378,377.27320499019777
ptcorr_25to35_EB1,2155.63596763446,16.113702217464027,1747.7531012526667,2218.5361907171505,1358.5483742603492
ptcorr_25to35_EB2,1313.5425832877013,12.34418755323117,1060.3188467823059,1352.9636289469347,816.9722598779792
ptcorr_25to35_EE,1055.478136783115,11.023254959608046,849.5227372253128,1091.3528547369303,641.8195949370519
ptcorr_35to50_EB1,2988.931017591546,18.836635796250732,2479.36620210657,3061.5641551631315,1867.8432136326849
ptcorr_35to50_EB2,1795.9997884288275,14.399142208418215,1488.021875524794,1839.6042850019521,1093.1987297357334
ptcorr_35to50_EE,1305.5699504292757,12.287793864358974,1077.7269729999393,1343.226962256685,784.1530386446946
ptcorr_50to100_EB1,5709.088552095252,25.98370866547126,5117.000684211205,5781.30119310765,3504.4265931510286
ptcorr_50to100_EB2,3257.0490082738324,19.756059296970353,2899.419065195215,3303.711664412443,1986.4313012738025
ptcorr_50to100_EE,2073.265622618839,15.621874410376726,1814.3548359759372,2112.4740834848403,1195.4542917031847
