,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,342.29472011819024,11.709089859986399,147.378654832857,418.0317169284854,47.57899188614166
ptcorr_15to20_EB2,239.13874367624672,9.514867492791607,99.44256389773545,294.27248473500924,40.074296724459174
ptcorr_15to20_EE,229.1265123981367,9.166557465612405,98.98499394523098,276.96787216784884,29.010734922864422
ptcorr_20to25_EB1,297.32633573757545,10.456198155436663,129.0050689429872,364.1409743963993,31.62797493637107
ptcorr_20to25_EB2,240.5666110904114,9.335717815673213,108.80102127375083,301.30986550483436,31.864665526261238
ptcorr_20to25_EE,265.0450228377656,9.868566299403232,128.7166338768605,319.6937203171867,34.517904874487215
ptcorr_25to35_EB1,575.9678030029177,14.548361440252004,252.20939855449237,692.8956087757605,85.82581532852686
ptcorr_25to35_EB2,430.56613218828176,12.525216927833071,214.60394863883818,519.7155851403894,67.70121657794455
ptcorr_25to35_EE,551.2584490201156,14.15060150398149,248.3718592264436,656.7539755241236,76.77732121756314
ptcorr_35to50_EB1,697.9308771575614,16.013936139847758,350.53884726140666,801.8376960848999,97.64278155386344
ptcorr_35to50_EB2,543.3996000686196,14.09495594251886,270.0084736199516,616.6130275050066,68.67290046554831
ptcorr_35to50_EE,683.4426893530048,15.862495447974137,347.5472987697555,775.6186566615736,82.02040883359928
ptcorr_50to100_EB1,852.4419885396253,17.69218375829095,561.0962329784371,936.0642118993361,121.23796492740546
ptcorr_50to100_EB2,666.580617851106,15.659584304683822,423.31274736310183,722.4652189367285,90.91158112241045
ptcorr_50to100_EE,838.2038712762162,17.53120291924378,542.5252526496862,910.9313040033901,97.07994295279507
