,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_10to15_EB1,286.48973314735144,5.375012424593479,200.61061196897873,317.0069881431124,186.96581730773957
ptcorr_10to15_EB2,204.18729891730854,4.5327886987951445,139.33670055970393,221.84477966827467,134.7073326005905
ptcorr_10to15_EE,171.033456622953,4.142856526377809,123.8767192607659,185.88666701407698,116.58957546913834
ptcorr_15to20_EB1,323.37883118020017,5.702433795405322,220.21817618666046,353.29316119637923,211.07959547275968
ptcorr_15to20_EB2,221.41355231694456,4.719028766764387,154.78784193394523,240.7394696344669,145.14138997860923
ptcorr_15to20_EE,171.41049475020927,4.144367176537374,120.77919879335927,186.7767785991422,112.80112978104188
ptcorr_20to30_EB1,714.7290166554737,8.472074517052011,505.5865541801381,773.9010522035102,482.9217639063298
ptcorr_20to30_EB2,462.15576979181276,6.816475444258238,323.3086565279244,500.0439900666393,308.64342389556003
ptcorr_20to30_EE,318.580879291937,5.64303865870972,221.32239698232877,345.30649053731094,211.58796873156996
ptcorr_30to50_EB1,1369.4521138720463,11.62743288349894,1002.9308306042119,1457.0441945355826,900.8080757225052
ptcorr_30to50_EB2,802.8606915782547,8.89326758530432,575.6511356139217,856.2452935217358,521.2929854322463
ptcorr_30to50_EE,514.0287526838666,7.124604593962239,367.48623397949694,552.6459291771093,321.91886057358175
ptcorr_50to100_EB1,1838.6640927672674,13.46386780932687,1484.9533343486682,1896.9011777639514,1152.208264351535
ptcorr_50to100_EB2,1055.3836391624689,10.205160486343114,850.7567677284599,1091.3204906936905,649.738198264948
ptcorr_50to100_EE,570.4127361933921,7.491145963795944,446.2279048323558,598.5817000875076,336.11921734567426
