model,chromosome,fitness
ParticleNet-model0,"(96, 'Adam', 0.0029, 2e-05, 'ReduceLROnPlateau')",0.0005515501533842
ParticleNet-model1,"(64, 'Adam', 0.002, 1e-05, 'ReduceLROnPlateau')",0.0005559433324219
ParticleNet-model2,"(96, 'Adam', 0.0008, 5e-05, 'ExponentialLR')",0.0005551372668726
ParticleNet-model3,"(128, 'Adam', 0.0009, 0.00719, 'ReduceLROnPlateau')",0.0005901333124619
ParticleNet-model4,"(128, 'Adam', 0.007, 0.00011, 'ExponentialLR')",0.0005874884894501
ParticleNet-model5,"(96, 'Adam', 0.0022, 0.0001, 'ExponentialLR')",0.0005537031352265
ParticleNet-model6,"(96, 'Adadelta', 0.0002, 0.00804, 'ExponentialLR')",0.0006738574112872
ParticleNet-model7,"(128, 'RMSprop', 0.0003, 0.00011, 'ReduceLROnPlateau')",0.0005569318524957
ParticleNet-model8,"(96, 'Adam', 0.0055, 0.00719, 'CyclicLR')",0.0006301082569351
ParticleNet-model9,"(128, 'Adam', 0.0055, 0.00268, 'CyclicLR')",0.0006221245423751
ParticleNet-model10,"(128, 'RMSprop', 0.0003, 0.00837, 'ReduceLROnPlateau')",0.0006031825370145
ParticleNet-model11,"(96, 'Adam', 0.0043, 6e-05, 'ReduceLROnPlateau')",0.0005717163869957
ParticleNet-model12,"(64, 'Adam', 0.0001, 0.00538, 'ReduceLROnPlateau')",0.0005773681136913
ParticleNet-model13,"(64, 'Adam', 0.002, 1e-05, 'ReduceLROnPlateau')",0.0005568395906827
ParticleNet-model14,"(96, 'Adadelta', 0.001, 0.00919, 'ReduceLROnPlateau')",0.0006737192034709
ParticleNet-model15,"(96, 'Adam', 0.0055, 0.00018, 'CyclicLR')",0.0005950550312403
